Year,Life Expectancy,Total Expenditure
2006,57.6,1.2
2005,55.3,6.83
2004,53.4,6.24
2003,52.0,6.34
2002,57.0,4.18
2014,73.8,7.22
2013,73.6,6.91
2012,73.2,5.2
2011,73.0,5.8
2010,72.6,5.7
2009,76.0,5.4
2008,72.5,4.52
2007,72.2,5.25
2006,72.0,4.68
2005,71.6,4.47
2004,71.4,4.45
2003,79.0,4.71
2002,76.0,5.1
2001,75.0,5.16
2000,72.0,5.31
2014,67.3,8.35
2013,67.1,9.76
2012,66.9,8.6
2011,66.6,5.44
2010,66.2,5.24
2009,65.8,6.65
2008,65.4,5.66
2007,65.1,7.44
2006,64.7,7.84
2005,64.3,1.4
2004,63.8,9.94
2003,63.4,11.12
2014,66.4,4.66
2013,66.0,4.51
2012,65.6,4.31
2011,64.9,4.42
2010,64.3,4.62
2009,63.5,4.81
2008,62.8,4.94
2007,62.1,4.72
2006,61.3,5.44
2005,65.0,5.35
2004,59.7,5.68
2014,75.4,1.37
2013,75.3,1.12
2012,74.9,9.89
2011,74.6,9.72
2010,74.4,1.9
2009,74.1,9.9
2008,74.0,1.5
2007,73.8,1.2
2006,73.6,8.99
2005,73.0,8.7
2004,73.0,8.24
2014,73.0,3.37
2013,72.9,3.58
2012,72.7,4.8
2011,72.6,3.38
2010,72.4,3.59
2009,72.3,2.64
2008,72.2,2.64
2007,72.2,3.3
2006,72.2,3.73
2005,72.2,3.91
2004,72.1,4.17
2003,72.1,4.64
2002,72.1,4.21
2001,72.0,4.45
2000,71.8,4.62
2014,48.1,11.9
2013,54.0,11.59
2012,49.7,11.24
2011,48.9,11.98
2010,48.1,1.32
2009,47.1,13.13
2008,46.2,1.29
2007,45.3,1.12
2014,68.8,5.5
2013,68.8,5.42
2012,68.7,5.48
2011,68.5,5.8
2010,68.3,7.47
2009,68.1,7.92
2008,68.0,5.97
2007,67.6,6.42
2006,67.6,6.66
2005,67.4,7.83
2004,67.1,5.64
2003,66.8,6.0
2002,66.5,6.9
2001,66.2,6.44
2000,65.8,4.56
2014,62.0,8.8
2013,69.0,8.78
2012,59.2,8.79
2011,58.9,8.61
2010,58.0,8.5
2009,56.5,8.39
2008,55.3,7.75
2007,54.5,7.53
2006,54.0,7.57
2005,53.8,7.77
2004,53.7,7.93
2003,54.0,8.26
2002,54.9,8.9
2001,56.0,8.31
2000,57.3,8.7
2014,82.6,9.3
2013,82.4,9.1
2012,82.0,9.39
2011,82.1,9.48
2010,81.9,9.56
2009,81.6,9.52
2008,81.3,8.8
2007,89.0,8.36
2006,88.0,8.23
2005,81.0,8.12
2004,81.0,8.5
2003,79.4,7.99
2002,79.5,7.25
2001,79.4,7.24
2000,79.1,7.21
2014,74.7,3.5
2013,74.6,3.68
2012,74.5,3.21
2011,74.5,3.28
2010,74.5,3.43
2009,71.8,3.37
2008,72.3,3.44
2007,73.7,3.76
2006,73.8,4.6
2005,74.2,4.6
2004,69.1,4.28
2003,73.9,3.95
2014,71.4,5.69
2013,71.2,5.96
2012,71.3,6.9
2011,76.0,5.93
2010,73.0,5.81
2009,70.0,6.14
2008,69.8,5.92
2007,69.5,5.92
2006,69.3,6.22
2005,68.9,6.78
2014,58.4,9.25
2013,57.6,9.66
2012,56.5,8.76
2011,55.0,8.61
2010,53.6,8.47
2009,52.6,8.46
2008,51.4,8.19
2007,50.0,7.5
2006,47.8,6.81
2005,46.0,6.8
2004,45.6,5.88
2003,45.9,5.71
2002,46.4,5.16
2001,47.1,5.11
2000,48.4,5.26
2014,82.3,11.93
2013,81.9,11.97
2012,81.7,11.8
2011,81.7,11.7
2007,73.8,3.72
2006,73.7,3.78
2005,73.5,4.11
2004,73.2,4.48
2003,73.0,5.12
2002,72.8,4.94
2001,72.7,4.92
2000,72.6,4.92
2014,69.6,6.88
2013,69.3,6.75
2012,68.8,6.39
2011,68.1,5.98
2010,67.3,6.4
2009,66.7,5.93
2008,66.4,5.58
2007,66.1,5.35
2006,65.9,5.7
2005,65.5,5.89
2004,65.9,5.7
2003,65.2,4.46
2002,64.3,4.48
2014,74.6,4.12
2013,74.5,4.0
2012,74.3,4.17
2011,74.1,4.12
2010,73.9,3.81
2009,73.7,4.11
2008,73.5,3.92
2007,73.3,3.56
2006,73.0,3.49
2005,72.5,3.55
2004,71.6,3.51
2003,71.7,3.58
2002,71.4,3.7
2001,71.2,3.32
2000,71.1,3.4
2014,68.0,1.48
2013,67.7,1.29
2012,67.4,1.1
2011,67.2,0.76
2010,66.9,0.92
2009,66.6,1.2
2008,66.2,0.74
2014,59.7,5.25
2013,59.4,5.12
2012,58.9,5.11
2011,58.3,5.21
2010,57.4,5.37
2009,56.7,6.64
2008,56.2,5.73
2014,73.3,5.18
2013,73.2,4.98
2012,73.0,4.51
2011,72.9,4.6
2010,72.8,4.59
2009,72.5,4.67
2008,72.6,5.13
2007,72.5,5.82
2006,72.4,5.61
2005,72.3,6.52
2004,72.2,4.87
2003,72.0,5.9
2002,71.9,5.3
2001,71.8,5.66
2000,71.6,4.75
2014,71.1,5.93
2013,71.0,5.98
2012,78.0,5.78
2011,76.0,5.6
2010,74.0,5.29
2009,71.0,6.47
2008,69.9,4.4
2007,69.7,4.82
2006,69.6,4.49
2005,69.5,5.31
2004,69.4,5.22
2003,69.3,5.13
2002,69.2,5.0
2014,75.1,7.0
2013,74.9,7.26
2012,74.9,7.18
2011,74.8,7.15
2010,74.8,6.54
2009,74.7,6.18
2008,74.7,5.63
2007,74.6,5.64
2006,74.4,5.64
2005,74.2,5.57
2004,74.0,5.63
2003,73.7,5.36
2002,73.5,5.32
2001,73.2,5.29
2000,72.9,5.4
2014,75.5,5.41
2013,75.2,5.38
2012,74.8,5.24
2011,74.5,5.29
2010,74.2,5.61
2009,73.9,6.8
2008,73.5,6.7
2007,73.2,6.4
2006,72.8,5.81
2005,72.4,5.45
2004,72.0,5.37
2003,71.6,5.34
2002,71.2,5.36
2001,78.0,5.16
2000,74.0,4.95
2014,66.0,2.7
2013,65.4,2.12
2012,65.6,1.96
2011,65.6,1.98
2010,65.8,1.99
2009,65.6,1.88
2008,64.5,1.93
2007,64.1,2.16
2006,63.7,2.9
2005,63.3,3.51
2004,63.5,4.3
2003,63.4,3.85
2002,63.3,3.34
2014,61.5,7.22
2013,67.0,7.47
2012,60.0,7.58
2011,59.3,9.9
2010,58.4,11.2
2009,57.5,8.43
2008,56.3,9.1
2007,55.5,9.76
2006,54.9,9.86
2005,53.2,9.36
2004,51.3,8.9
2003,51.0,7.54
2002,48.8,7.78
2014,78.0,7.1
2013,71.0,7.67
2012,77.0,7.47
2011,75.0,6.98
2010,69.8,7.81
2009,69.2,7.8
2008,67.7,6.63
2007,67.5,6.36
2006,67.7,6.39
2005,67.0,6.41
2004,67.4,6.61
2003,67.6,6.93
2002,67.6,6.25
2001,67.7,5.66
2000,67.5,5.59
2014,76.8,8.58
2013,76.8,8.68
2012,76.5,8.74
2011,77.0,8.55
2010,76.3,8.63
2009,76.6,8.78
2008,76.4,8.17
2007,75.4,8.23
2006,76.2,11.17
2005,75.7,11.15
2004,75.4,11.59
2003,75.4,6.52
2002,75.4,7.18
2001,75.2,7.46
2000,75.1,7.82
2014,69.2,5.84
2013,69.1,6.32
2012,68.8,6.49
2011,68.5,5.65
2010,68.3,5.34
2009,68.0,6.31
2008,67.9,5.92
2007,67.8,5.81
2006,67.6,5.49
2005,67.3,5.11
2004,67.8,5.11
2003,67.2,5.17
2002,67.1,5.44
2014,71.7,5.2
2013,71.6,3.92
2012,71.4,3.7
2011,71.2,3.85
2010,71.0,4.71
2009,78.0,3.9
2008,75.0,3.66
2007,73.0,3.67
2006,71.0,3.96
2005,69.9,3.87
2004,69.6,4.12
2003,69.4,4.2
2002,69.3,3.52
2001,69.1,3.37
2000,69.0,3.28
2014,61.1,4.99
2013,63.0,4.99
2012,59.2,4.91
2011,58.2,4.26
2010,58.0,4.41
2009,57.4,4.73
2008,55.7,4.87
2007,52.6,4.37
2006,58.0,6.11
2005,49.3,7.56
2014,59.2,6.44
2013,58.0,6.88
2012,56.6,6.69
2011,54.9,6.31
2010,52.4,5.37
2009,50.0,6.26
2008,48.2,4.96
2007,46.6,4.47
2006,45.4,5.12
2005,44.6,6.44
2004,44.3,7.13
2003,44.5,6.52
2002,44.8,6.53
2001,45.3,6.16
2000,46.0,7.1
